建筑面积,有无电梯,户型建筑总开间,户型建筑总进深,总价,建筑总楼,梯户比例,建设年代,所在区域,入户大门朝向,客厅面积,客厅朝向,客厅开间,客厅进深
98.5,2,9572,11540,275,8,一梯两户,1996,3,4,26.5 ,3,3872,6944
103.9,2,9727,11955,280,8,一梯两户,1996,3,4,36.9 ,3,3784,9553
70.7,2,7726,8840,186,9,一梯三户,1996,2,2,19.0 ,5,4880,3799
110,2,10134,10465,250,7,一梯三户,1997,3,6,2.2 ,4,5318,4073
83.1,2,6191,12310,130,6,一梯二梯,1997,3,7,11.2 ,2,3211,3532
89,2,6776,12399,312,8,一梯一户,1997,1,4,25.1 ,7,3363,5898
76.8,1,7144,9817,535,19,两梯六户,1997,1,2,0.0 ,9,0,0
114,1,14426,9834,980,19,两梯六户,1997,1,1,0.0 ,9,0,0
103.2,1,10016,10977,560,24,三梯八户,1997,1,1,22.2 ,3,6446,3447
143.2,1,9575,16217,930,32,两梯五户,1997,1,1,38.2 ,1,6453,5923
102.5,1,10664,13659,430,25,两梯六户,1997,1,4,25.8 ,3,5373,4632
128,1,14640,17649,680,22,四梯十五户,1997,1,1,39.6 ,3,7023,5882
98.1,1,10104,7646,520,22,四梯十五户,1997,1,2,22.0 ,1,4579,2955
78.8,1,11064,6465,585,19,两梯六户,1997,2,2,26.4 ,1,3057,6465
82.4,2,9316,9268,350,8,一梯五户,1997,1,1,24.9 ,3,3442,6844
94.4,2,10175,11756,720,8,一梯两户,1997,1,4,16.7 ,3,3279,5153
130,1,14903,7689,105,27,两梯八户,1997,1,5,20.5 ,7,4734,4719
75.6,1,11257,10006,442,28,三梯六户,1997,2,3,11.5 ,1,3822,3024
82.3,2,9690,10114,310,5,一梯四户,1997,1,2,16.5 ,5,3921,4486
74.6,1,10395,8565,280,6,一梯四户,1997,1,4,22.8 ,5,3534,6124
94.4,2,10175,11756,720,8,一梯两户,1997,1,3,16.7 ,3,3279,5153
147.7,1,15550,10786,680,32,三梯六户,1997,1,2,37.7 ,7,6462,6071
95,1,10803,9514,435,9,三梯三户,1997,1,2,33.9 ,7,7915,7064
94.1,2,7791,9819,165,7,一梯两户,1997,3,4,20.9 ,3,4252,5030
50.4,2,4161,10450,175,7,一梯三户,1997,2,4,14.3 ,5,3355,4161
103,2,12184,11738,528,9,一梯两户,1997,2,4,35.7 ,3,5298,9246
99.6,1,11696,9413,520,17,两梯八户,1997,2,1,15.9 ,3,3468,4588
77.5,2,7805,10668,230,8,一梯两户,1997,1,3,18.5 ,3,4069,4490
95,1,10803,9219,435,9,三梯三户,1997,1,2,33.9 ,7,6590,7064
83.6,2,9106,10558,178,7,一梯四户,1997,3,1,29.9 ,7,9106,9205
80.2,2,8361,9548,178,7,一梯四户,1997,3,3,27.1 ,3,8361,7978
80.2,2,7433,9363,185,7,一梯四户,1997,3,3,21.6 ,3,7433,6177
82.6,2,8180,8886,172,7,一梯四户,1997,3,3,23.0 ,5,8180,8020
105.7,1,1021,6780,105,12,一梯四户,1997,2,1,0.0 ,9,0,0
100.3,1,11053,7741,290,16,一梯十一户,1997,3,3,27.8 ,1,3346,7741
102.9,1,9980,9485,607,9,一梯四户,1997,2,3,32.1 ,7,5299,4232
82.8,1,8874,9275,327,17,两梯八户,1997,2,5,9.9 ,9,2592,3824
80.8,1,10405,9898,350,17,两梯八户,1997,2,4,23.1 ,3,6640,5388
105.1,1,10857,9391,315,20,二梯一梯一梯,1997,3,2,13.4 ,3,3438,3894
100.3,1,10865,8567,310,16,一梯一梯一梯,1997,3,8,15.0 ,2,2339,6419
84.6,2,8734,8422,306,9,一梯五户,1997,1,3,13.0 ,3,3283,3956
108.5,1,8770,12080,972,22,二梯八梯,1997,2,1,30.3 ,5,3924,6495
109.3,1,7565,10770,760,22,二梯八梯,1997,2,1,29.7 ,1,3886,5565
104.1,1,7832,11130,750,33,三梯梯7户,1997,1,3,34.7 ,1,4512,7692
77.3,1,9003,8115,425,33,三梯梯九梯户,1997,1,4,22.8 ,3,4134,5503
94.2,1,9723,7680,538,33,三梯梯八梯户,1997,1,3,30.2 ,3,2750,7680
95.3,1,9969,11107,408,39,三梯八户,1997,2,2,43.4 ,2,9969,6357
